nodes_per_instance,p,exponent,instance_connectivity,simpsons_index,reachability
expon,0.00,2.25,0.10000,0.00000,0.12191
expon,0.00,2.25,0.10000,0.00000,0.10843
expon,0.00,2.25,0.10000,0.00000,0.12068
expon,0.00,2.25,0.10000,0.00000,0.11551
expon,0.00,2.62,0.10000,0.00000,0.10761
expon,0.00,2.62,0.10000,0.00000,0.09667
expon,0.00,2.62,0.10000,0.00000,0.09708
expon,0.00,2.62,0.10000,0.00000,0.10290
expon,0.00,2.62,0.10000,0.00000,0.10694
expon,0.00,3.00,0.10000,0.00000,0.09720
expon,0.00,3.00,0.10000,0.00000,0.11659
expon,0.00,3.00,0.10000,0.00000,0.08464
expon,0.00,3.00,0.10000,0.00000,0.10869
expon,0.00,3.00,0.10000,0.00000,0.10581
expon,0.05,1.50,0.13219,0.08600,0.94598
expon,0.05,1.50,0.12098,0.05542,0.99741
expon,0.05,1.50,0.12941,0.07231,0.99733
expon,0.05,1.50,0.11868,0.05958,0.91190
expon,0.05,1.50,0.11522,0.04578,0.95125
expon,0.05,1.88,0.11377,0.03730,0.99725
